Bioreactor,Condition,Replicate,Day,Strain,Type,Agar,Dilution_factor,dot1,dot2,dot3,dot4,dot5,dot6,dot7,dot8,dot9,dot10
,chemostat,3,0,MG1655,inoculation,LB,5,25,32,21,28,36,33,40,26,33,37
,chemostat,3,0,MG1655,inoculation,RIF,1,0,0,0,0,0,0,0,0,0,0
,chemostat,3,0,R14,inoculation,LB,5,26,17,16,26,15,31,17,19,16,16
,chemostat,3,0,R14,inoculation,RIF,5,17,20,26,17,15,28,16,23,9,28
,chemostat,3,0,R18,inoculation,LB,5,12,25,20,12,12,22,24,19,17,20
,chemostat,3,0,R18,inoculation,RIF,5,17,19,29,19,16,14,21,21,13,25
,chemostat,3,0,R26,inoculation,LB,5,18,14,19,10,16,11,13,12,20,12
,chemostat,3,0,R26,inoculation,RIF,6,22,22,16,14,11,6,18,11,14,11
,chemostat,3,0,CONTROL,inoculation,LB,1,0,0,0,0,0,0,0,0,0,0
,chemostat,3,0,CONTROL,inoculation,RIF,1,0,0,0,0,0,0,0,0,0,0
M0,chemostat,3,1,R14,competition,LB,5,25,27,25,27,25,20,20,26,18,32
M0,chemostat,3,1,R14,competition,RIF,5,8,14,15,9,10,15,12,8,13,12
M1,chemostat,3,1,R26,monoculture,LB,5,29,23,33,22,29,25,25,21,28,25
M1,chemostat,3,1,R26,monoculture,RIF,5,13,28,34,31,32,35,37,29,29,28
M2,chemostat,3,1,R14,monoculture,LB,5,18,37,28,23,27,33,24,29,29,20
M2,chemostat,3,1,R14,monoculture,RIF,5,25,26,34,23,29,34,29,40,39,33
M3,chemostat,3,1,R18,competition,LB,5,27,35,32,23,25,28,35,25,32,31
M3,chemostat,3,1,R18,competition,RIF,4,63,76,61,77,94,69,76,92,84,82
M4,chemostat,3,1,R26,competition,LB,5,33,39,24,28,34,27,31,27,,
M4,chemostat,3,1,R26,competition,RIF,4,46,47,38,40,40,34,52,37,40,37
M5,chemostat,3,1,CONTROL,CONTROL,LB,1,0,0,0,0,0,0,0,0,0,0
M5,chemostat,3,1,CONTROL,CONTROL,RIF,1,0,0,0,0,0,0,0,0,0,0
M6,chemostat,3,1,R18,monoculture,LB,5,26,20,35,29,32,15,28,30,18,21
M6,chemostat,3,1,R18,monoculture,RIF,5,23,25,38,29,27,26,30,26,25,29
M7,chemostat,3,1,MG1655,monoculture,LB,5,28,27,27,28,24,25,31,36,26,20
M7,chemostat,3,1,MG1655,monoculture,RIF,1,0,0,0,0,0,0,0,0,0,0
M0,chemostat,3,2,R14,competition,LB,5,33,32,37,33,34,32,43,37,43,33
M0,chemostat,3,2,R14,competition,RIF,5,7,8,6,13,21,12,8,7,6,15
M1,chemostat,3,2,R26,monoculture,LB,5,30,31,29,39,34,26,26,33,30,24
M1,chemostat,3,2,R26,monoculture,RIF,5,24,32,34,35,33,30,32,38,31,26
M2,chemostat,3,2,R14,monoculture,LB,5,41,28,34,25,27,27,33,33,21,25
M2,chemostat,3,2,R14,monoculture,RIF,5,38,23,40,28,38,35,22,36,33,20
M3,chemostat,3,2,R18,competition,LB,5,35,39,46,55,47,43,45,37,40,43
M3,chemostat,3,2,R18,competition,RIF,4,71,53,51,62,67,57,66,62,63,65
M4,chemostat,3,2,R26,competition,LB,5,33,33,37,28,29,32,24,31,27,27
M4,chemostat,3,2,R26,competition,RIF,4,44,36,46,40,58,52,51,57,52,47
M5,chemostat,3,2,CONTROL,CONTROL,LB,1,0,0,0,0,0,0,0,0,0,0
M5,chemostat,3,2,CONTROL,CONTROL,RIF,1,0,0,0,0,0,0,0,0,0,0
M6,chemostat,3,2,R18,monoculture,LB,5,49,44,52,51,50,33,49,40,21,42
M6,chemostat,3,2,R18,monoculture,RIF,5,37,34,44,60,46,44,46,39,47,42
M7,chemostat,3,2,MG1655,monoculture,LB,5,30,35,30,49,37,37,33,40,31,43
M7,chemostat,3,2,MG1655,monoculture,RIF,1,0,0,0,0,0,0,0,0,0,0
M0,chemostat,3,3,R14,competition,LB,5,19,41,21,24,29,23,36,25,39,27
M0,chemostat,3,3,R14,competition,RIF,4,34,41,39,53,54,51,48,45,51,42
M1,chemostat,3,3,R26,monoculture,LB,5,25,29,25,15,19,29,23,18,23,17
M1,chemostat,3,3,R26,monoculture,RIF,5,24,25,22,22,20,29,25,18,16,17
M2,chemostat,3,3,R14,monoculture,LB,5,37,27,35,36,36,45,38,36,37,33
M2,chemostat,3,3,R14,monoculture,RIF,5,48,32,22,31,17,22,,,,
M3,chemostat,3,3,R18,competition,LB,5,32,20,31,31,20,30,26,20,43,23
M3,chemostat,3,3,R18,competition,RIF,4,44,42,41,39,39,50,29,31,41,
M4,chemostat,3,3,R26,competition,LB,5,26,25,30,19,24,26,28,21,22,26
M4,chemostat,3,3,R26,competition,RIF,4,14,15,30,35,27,21,24,31,33,
M5,chemostat,3,3,CONTROL,CONTROL,LB,1,1,0,0,0,0,0,0,0,0,0
M5,chemostat,3,3,CONTROL,CONTROL,RIF,1,0,0,0,0,0,0,0,0,0,0
M6,chemostat,3,3,R18,monoculture,LB,5,39,30,21,43,37,38,33,29,23,25
M6,chemostat,3,3,R18,monoculture,RIF,5,23,41,31,41,21,50,34,,,
M7,chemostat,3,3,MG1655,monoculture,LB,5,25,20,34,25,18,16,25,23,22,26
M7,chemostat,3,3,MG1655,monoculture,RIF,1,0,0,0,0,0,0,0,0,0,0
M0,chemostat,3,4,R14,competition,LB,5,37,42,31,29,39,31,29,33,27,31
M0,chemostat,3,4,R14,competition,RIF,4,30,34,39,34,36,28,36,36,40,31
M1,chemostat,3,4,R26,monoculture,LB,5,25,17,19,14,20,14,18,21,18,16
M1,chemostat,3,4,R26,monoculture,RIF,5,25,22,16,26,23,24,20,25,22,23
M2,chemostat,3,4,R14,monoculture,LB,5,33,38,42,39,33,42,29,36,42,35
M2,chemostat,3,4,R14,monoculture,RIF,5,36,41,38,41,35,35,35,35,32,36
M3,chemostat,3,4,R18,competition,LB,5,30,33,37,26,21,33,27,27,33,31
M3,chemostat,3,4,R18,competition,RIF,4,26,25,27,30,29,18,28,24,25,28
M4,chemostat,3,4,R26,competition,LB,5,33,25,36,34,24,29,38,22,34,41
M4,chemostat,3,4,R26,competition,RIF,4,12,12,12,10,13,9,13,11,13,13
M5,chemostat,3,4,CONTROL,CONTROL,LB,4,2,3,2,2,3,4,3,0,2,1
M5,chemostat,3,4,CONTROL,CONTROL,RIF,1,0,0,0,0,0,0,0,0,0,0
M6,chemostat,3,4,R18,monoculture,LB,5,39,27,30,31,28,22,26,33,28,29
M6,chemostat,3,4,R18,monoculture,RIF,5,21,29,20,27,39,25,36,31,34,28
M7,chemostat,3,4,MG1655,monoculture,LB,5,28,33,29,39,33,31,30,38,49,29
M7,chemostat,3,4,MG1655,monoculture,RIF,1,0,0,0,0,0,0,0,0,0,0
M0,chemostat,3,5,R14,competition,LB,5,23,34,26,38,43,35,24,44,39,44
M0,chemostat,3,5,R14,competition,RIF,4,20,26,39,24,25,25,22,30,24,22
M1,chemostat,3,5,R26,monoculture,LB,5,31,22,16,24,31,20,15,21,27,17
M1,chemostat,3,5,R26,monoculture,RIF,5,21,24,22,28,17,23,22,28,23,22
M2,chemostat,3,5,R14,monoculture,LB,5,29,35,40,49,37,34,47,49,31,44
M2,chemostat,3,5,R14,monoculture,RIF,5,26,66,40,64,46,49,50,31,46,41
M3,chemostat,3,5,R18,competition,LB,5,27,26,23,40,18,18,30,27,23,22
M3,chemostat,3,5,R18,competition,RIF,4,13,20,19,11,12,19,21,17,20,13
M4,chemostat,3,5,R26,competition,LB,5,20,30,32,30,27,29,26,25,35,36
M4,chemostat,3,5,R26,competition,RIF,3,63,63,68,37,78,58,45,87,78,67
M5,chemostat,3,5,CONTROL,CONTROL,LB,5,27,27,22,30,20,23,24,22,23,18
M5,chemostat,3,5,CONTROL,CONTROL,RIF,1,1,1,0,0,0,0,0,0,0,0
M6,chemostat,3,5,R18,monoculture,LB,5,25,26,29,28,19,15,28,32,27,25
M6,chemostat,3,5,R18,monoculture,RIF,5,18,27,22,28,27,17,26,35,37,29
M7,chemostat,3,5,MG1655,monoculture,LB,5,22,29,24,14,16,29,29,27,15,14
M7,chemostat,3,5,MG1655,monoculture,RIF,1,0,0,0,0,0,0,0,0,0,0
M0,chemostat,3,6,R14,competition,LB,5,32,34,45,34,48,43,46,48,35,31
M0,chemostat,3,6,R14,competition,RIF,4,18,19,18,14,14,40,15,12,22,19
M1,chemostat,3,6,R26,monoculture,LB,5,29,42,32,34,32,37,30,26,23,25
M1,chemostat,3,6,R26,monoculture,RIF,5,50,45,38,38,41,46,40,44,53,40
M2,chemostat,3,6,R14,monoculture,LB,6,10,1,2,9,8,11,17,12,17,11
M2,chemostat,3,6,R14,monoculture,RIF,5,60,57,74,60,63,60,60,57,70,70
M3,chemostat,3,6,R18,competition,LB,5,37,27,28,25,25,25,28,27,21,30
M3,chemostat,3,6,R18,competition,RIF,4,11,8,16,12,19,18,11,10,13,15
M4,chemostat,3,6,R26,competition,LB,5,14,22,24,28,24,20,26,26,21,41
M4,chemostat,3,6,R26,competition,RIF,3,31,30,35,34,27,29,29,32,29,29
M5,chemostat,3,6,CONTROL,CONTROL,LB,5,47,44,49,47,35,51,49,46,37,55
M5,chemostat,3,6,CONTROL,CONTROL,RIF,1,1,1,1,0,0,0,0,0,0,0
M6,chemostat,3,6,R18,monoculture,LB,5,20,30,20,26,24,23,22,27,23,26
M6,chemostat,3,6,R18,monoculture,RIF,5,27,32,34,28,33,21,37,36,28,27
M7,chemostat,3,6,MG1655,monoculture,LB,5,16,27,19,14,17,25,24,24,17,29
M7,chemostat,3,6,MG1655,monoculture,RIF,1,0,0,0,0,0,0,0,0,0,0
