"experiment_replicate","ID","inflow_setting","outflow_per_hour_mean","dilution_rate","avg_od_blanked","avg_cfu_ul"
"dd2","M1",5e-04,4.29787234042553,0.204660587639311,0.1864,905714.285714286
"dd2","M2",0.001,7.21276595744681,0.343465045592705,0.1644,778000
"dd2","M3",0.00125,9.27659574468085,0.441742654508612,0.1425,626000
"dd2","M5",0.00025,2.38297872340426,0.113475177304965,0.1898,846666.666666667
"dd2","M6",0.00075,5.8936170212766,0.2806484295846,0.159,612000
"dd2","M7",0.0015,11.6382978723404,0.554204660587639,0.1472,548888.888888889
"dd3","M0",0.0019,15.5163265306122,0.738872691933916,0.1628,488000
"dd3","M1",1e-04,1.08639455782313,0.0517330741820538,0.1659,554000
"dd3","M2",0.0025,17.7591801578513,0.845675245611964,0.053,123555.555555556
"dd3","M5",0.0022,15.9834467120181,0.761116510096102,0.1357,672000
"dd3","M7",0.0028,18.2864595967586,0.870783790321838,0.0938,510000
"dd4","M0",0.0028,21.1743959697788,1.00830456998947,0.0415,109322.222222222
"dd4","M1",1e-04,0.816326530612245,0.0388726919339164,0.1506,480000
"dd4","M2",0.003,22.0356946721367,1.04931879391127,0.02765,72200
"dd4","M3",5e-05,1.22448979591837,0.0583090379008746,0.1596,538000
"dd4","M4",0.0022,14.6358839704611,0.696946855736242,0.12895,423000
"dd4","M5",0.0024,18.2196744199232,0.867603543805865,0.07915,311000
"dd4","M7",0.0026,16.8079373178876,0.800377967518456,0.11665,436000
"dd6","M0",0.003,21.7708333333333,1.03670634920635,0.028,317500
"dd6","M2",5e-04,3.125,0.148809523809524,0.146,791000
"dd6","M3",0.0015,10.3125,0.491071428571429,0.115,779000
"dd6","M4",0.001,6.35416666666667,0.302579365079365,0.17,989333.333333333
"dd6","M6",0.0025,16.4583333333333,0.783730158730159,0.074,430000
"dd6","M7",0.002,13.9583333333333,0.66468253968254,0.119,528000
"dd7","M0",0.0025,16.4974992644896,0.785595203070931,0.1145,458555.555555556
"dd7","M1",0.001,7.55388841927303,0.359708972346335,0.1565,663000
"dd7","M3",0.002,11.3293357283742,0.539492177541628,0.1345,619000
"dd7","M4",1e-04,0.828754578754579,0.039464503750218,0.173,776000
"dd7","M5",0.003,20.5633629191321,0.979207758053912,0.0195,50500
"dd7","M6",5e-04,2.93762327416174,0.13988682257913,0.154,897000
"dd7","M7",0.0015,9.86202099182868,0.469620047229937,0.175,829888.888888889
